Word,Meaning
Applause,the act of praise publicly expressed by the clapping of hands
Appliance,a piece of equipment designed to perform a domestic task
Applicable,"suitable for application, relevant"
Applicant,one who applies for something; one who makes a request
Application,an official permission to a higher figure for something
Apply,to smear or rub a substance on something else
Appoint,"to assign a responsibility, job, or role to someone"
Appointed,"to pick or choose for a task, duty, job or title position"
Apportion ,to distribute in a fair way
Appose,to place things next to or near another thing
Apposite,fitting for the situation or suited
Apposition,a grammatical relation between an adjective and the noun behind it
Appraisal,an opinion or estimated value
Appraised,to have had its worth evaluated
Appreciable,adequately considered to be substantial or significant
Appreciate,"to understand the worth, value, or importance of something"
Appreciative,displaying or feeling gratitude
Apprehend,to catch a person for criminal reasons
Apprehension,capturing and arresting a lawless person
Apprehensive,worried that something bad may happen; afraid
Apprentice,trainee (beginner) especially in a skilled trade
Apprenticeship,job training that involves working for an expert to learn a particular trade
Apprise,to report on the status of something
Approach,so come near something
Approachable,easy to talk to
Approbation,to gain approval
Appropriate,right or suited for a particular situation
Appropriation,money set aside for a specific purpose
Approve,"to officially accept something, considering it good or okay"
Approximate,close to the exact; estimated
Approximately,"close to, but not exactly"
Appurtenant,belonging
Apropos,fitting; at the right time
Apt,likely to do something
Aptitude,the capability to do something well
Aptly,in a fitting way
Aptness,being suitable or right for something
Aquatic,"associated with water, often living in or taking place in water"
Aqueduct,an artificial channel that is constructed to transport water from one location to another
Aqueous,associated with water
Aquifer,a rock deposit that bears water and is under the ground 
Arabesque,"a graceful, Arabian design usually seen in metal, ceramic, or stone that resembles vines and leaves"
Arable,adequate for cultivating
Arbiter,one who can settle a disagreement between parties
Arbitrage,a method of buying something for one price and then immediately selling it for another price somewhere else
Arbitrary,not done for any particular reason; chosen or done at random
Arbitrate,to settle an argument between two people or groups after hearing the opinions and ideas of both
Arboreal ,associated with trees
Arcane,understood by only a few; obscure
Arch,"a semi-circle shape, like an inverted ""U"""
Archaeologist ,one who studies ancient civilizations by examining artifacts
Archaeology,the study of the past by excavation and analysis of its material remains
Archaic,old and no longer useful
Archenemy,a main enemy that is extremely opposed to someone or something
Archetype,an ideal example that people often attempt to duplicate
Archipelago,a group of islands
Architecture,the science of designing and constructing
Archive,"a collection of historical documents or records providing information about a place, institution, or group of people"
Archly,cunningly or slyly
Ardent,"feeling great passion, or felt very passionately"
Ardor,great warmth of feeling; passion
Arduous,demanding great effort or labor; difficult
Area,a particular geographic region
Argot,a unique language used by certain groups or people with a particular occupation
Arguably,possibly or probably
Argue,"to give reasons for your support or condemnation of certain ideals, typically in an aggressive manner"
Argument,a discussion where both sides explain their contrasting viewpoints usually with an angry tone
Argumentative,"predisposed to debating, disagreeing, or expressing controversial opinions or beliefs"
Argyle,a pattern that features a series of diamonds and a solid colored background that was originally modeled from Scottish tartan
Arid,incredibly dry; lacking water 
Aridity,long term lack of rainfall or moisture
Arise,to get up from a seated or laying position
Aristocracy,"a group of people who are viewed as being better than others, usually because of a title or status in society"
Aristocratic,relating to nobility or upper class
Armada,a fleet of warships
Armament,military weapons or equipment
